,year,name,identifier ,url
0,1877,Wimbledon,1877-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1877/results
21,1878,Wimbledon,1878-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1878/results
53,1879,Wimbledon,1879-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1879/results
98,1880,Wimbledon,1880-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1880/results
158,1881,Wimbledon,1881-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1881/results
206,1881,US Championships,1881-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1881/results
230,1882,Wimbledon,1882-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1882/results
259,1882,US Championships,1882-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1882/results
296,1883,Wimbledon,1883-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1883/results
319,1883,US Championships,1883-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1883/results
345,1884,Wimbledon,1884-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1884/results
375,1884,US Championships,1884-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1884/results
410,1885,Wimbledon,1885-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1885/results
433,1885,US Championships,1885-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1885/results
459,1886,Wimbledon,1886-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1886/results
482,1886,US Championships,1886-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1886/results
514,1887,Wimbledon,1887-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1887/results
531,1887,US Championships,1887-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1887/results
547,1888,Wimbledon,1888-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1888/results
571,1888,US Championships,1888-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1888/results
603,1889,Wimbledon,1889-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1889/results
627,1889,US Championships,1889-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1889/results
659,1890,Wimbledon,1890-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1890/results
689,1890,US Championships,1890-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1890/results
721,1891,Wimbledon,1891-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1891/results
743,1891,US Championships,1891-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1891/results
807,1892,Wimbledon,1892-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1892/results
834,1892,US Championships,1892-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1892/results
898,1893,Wimbledon,1893-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1893/results
925,1893,US Championships,1893-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1893/results
989,1894,Wimbledon,1894-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1894/results
1012,1894,US Championships,1894-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1894/results
1044,1895,Wimbledon,1895-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1895/results
1062,1895,US Championships,1895-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1895/results
1126,1896,Wimbledon,1896-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1896/results
1157,1896,US Championships,1896-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1896/results
1189,1897,Wimbledon,1897-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1897/results
1220,1897,US Championships,1897-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1897/results
1252,1898,Wimbledon,1898-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1898/results
1289,1898,US Championships,1898-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1898/results
1321,1899,Wimbledon,1899-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1899/results
1358,1899,US Championships,1899-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1899/results
1390,1900,Wimbledon,1900-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1900/results
1427,1900,US Championships,1900-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1900/results
1459,1901,Wimbledon,1901-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1901/results
1495,1901,US Championships,1901-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1901/results
1527,1902,Wimbledon,1902-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1902/results
1569,1902,US Championships,1902-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1902/results
1652,1903,Wimbledon,1903-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1903/results
1694,1903,US Championships,1903-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1903/results
1771,1904,Wimbledon,1904-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1904/results
1833,1904,US Championships,1904-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1904/results
1916,1905,Wimbledon,1905-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1905/results
1987,1905,US Championships,1905-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1905/results
2092,1905,Australasian Championships,1905-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1905/results
2108,1906,Wimbledon,1906-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1906/results
2177,1906,US Championships,1906-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1906/results
2294,1906,Australasian Championships,1906-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1906/results
2303,1907,Wimbledon,1907-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1907/results
2387,1907,Australasian Championships,1907-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1907/results
2406,1907,US Championships,1907-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1907/results
2521,1908,Wimbledon,1908-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1908/results
2590,1908,US Championships,1908-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1908/results
2735,1908,Australasian Championships,1908-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1908/results
2749,1909,Wimbledon,1909-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1909/results
2834,1909,US Championships,1909-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1909/results
2998,1909,Australasian Championships,1909-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1909/results
3008,1910,Australasian Championships,1910-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1910/results
3021,1910,Wimbledon,1910-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1910/results
3113,1910,US Championships,1910-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1910/results
3296,1911,Wimbledon,1911-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1911/results
3400,1911,US Championships,1911-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1911/results
3602,1911,Australasian Championships,1911-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1911/results
3618,1912,Wimbledon,1912-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1912/results
3699,1912,US Championships,1912-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1912/results
3826,1912,Australasian Championships,1912-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1912/results
3837,1913,Wimbledon,1913-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1913/results
3953,1913,US Championships,1913-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1913/results
4080,1913,Australasian Championships,1913-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1913/results
4088,1914,Wimbledon,1914-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1914/results
4190,1914,US Championships,1914-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1914/results
4317,1914,Australasian Championships,1914-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1914/results
4343,1915,Australasian Championships,1915-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1915/results
4359,1915,US Championships,1915-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1915/results
4486,1916,US Championships,1916-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1916/results
4613,1917,US Championships,1917-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1917/results
4676,1918,US Championships,1918-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1918/results
4762,1919,Wimbledon,1919-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1919/results
4890,1919,US Championships,1919-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1919/results
5017,1919,Australasian Championships,1919-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1919/results
5054,1920,Australasian Championships,1920-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1920/results
5079,1920,Wimbledon,1920-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1920/results
5208,1920,US Championships,1920-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1920/results
5335,1921,Wimbledon,1921-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1921/results
5586,1921,US Championships,1921-US Championships,https://www.atptour.com/en/scores/archive/us-championships/560/1921/results
5693,1921,Australasian Championships,1921-Australasian Championships,https://www.atptour.com/en/scores/archive/australasian-championships/580/1921/results
5714,1922,Wimbledon,1922-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1922/results
