Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team,URL_Tournament
1877,Wimbledon,"London, Great Britain",1877.07.09,32,0,Outdoor Grass,,Spencer Gore,,,https://www.atptour.com/en/scores/archive/wimbledon/540/1877/results
1878,Wimbledon,"London, Great Britain",1878.07.08,64,0,Outdoor Grass,,Frank Hadow,,,https://www.atptour.com/en/scores/archive/wimbledon/540/1878/results
1879,Wimbledon,"London, Great Britain",1879.07.07,64,0,Outdoor Grass,,John Hartley,,,https://www.atptour.com/en/scores/archive/wimbledon/540/1879/results
1880,Wimbledon,"London, Great Britain",1880.07.05,64,0,Outdoor Grass,,John Hartley,,,https://www.atptour.com/en/scores/archive/wimbledon/540/1880/results
1881,Wimbledon,"London, Great Britain",1881.07.02,64,0,Outdoor Grass,,William Renshaw,,,https://www.atptour.com/en/scores/archive/wimbledon/540/1881/results
1881,US Championships,"Newport, United States",1881.08.31,32,0,Outdoor Grass,,Richard Sears,,,https://www.atptour.com/en/scores/archive/us-championships/560/1881/results
1882,Wimbledon,"London, Great Britain",1882.07.08,32,0,Outdoor Grass,,William Renshaw,,,https://www.atptour.com/en/scores/archive/wimbledon/540/1882/results
1882,US Championships,"Newport, United States",1882.08.30,64,0,Outdoor Grass,,Richard Sears,,,https://www.atptour.com/en/scores/archive/us-championships/560/1882/results
1883,Wimbledon,"London, Great Britain",1883.07.07,32,0,Outdoor Grass,,William Renshaw,,,https://www.atptour.com/en/scores/archive/wimbledon/540/1883/results
1883,US Championships,"Newport, United States",1883.08.21,32,0,Outdoor Grass,,Richard Sears,,,https://www.atptour.com/en/scores/archive/us-championships/560/1883/results
1884,Wimbledon,"London, Great Britain",1884.07.05,32,0,Outdoor Grass,,William Renshaw,,,https://www.atptour.com/en/scores/archive/wimbledon/540/1884/results
1884,US Championships,"Newport, United States",1884.08.27,64,0,Outdoor Grass,,Richard Sears,,,https://www.atptour.com/en/scores/archive/us-championships/560/1884/results
1885,Wimbledon,"London, Great Britain",1885.07.04,32,0,Outdoor Grass,,William Renshaw,,,https://www.atptour.com/en/scores/archive/wimbledon/540/1885/results
1885,US Championships,"Newport, United States",1885.08.18,32,0,Outdoor Grass,,Richard Sears,,,https://www.atptour.com/en/scores/archive/us-championships/560/1885/results
1886,Wimbledon,"London, Great Britain",1886.07.03,32,0,Outdoor Grass,,William Renshaw,,,https://www.atptour.com/en/scores/archive/wimbledon/540/1886/results
1886,US Championships,"Newport, United States",1886.08.23,33,0,Outdoor Grass,,Richard Sears,,,https://www.atptour.com/en/scores/archive/us-championships/560/1886/results
1887,Wimbledon,"London, Great Britain",1887.07.02,17,0,Outdoor Grass,,Herbert Lawford,,,https://www.atptour.com/en/scores/archive/wimbledon/540/1887/results
