Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team
2020,ATP Cup,"Brisbane/Perth/Sydney, Australia",2020.01.03,24,24,Outdoor Hard,"$15,000,000",,,Serbia,https://www.atptour.com/en/scores/archive/atp-cup/8888/2020/results
2020,Doha,"Doha, Qatar",2020.01.06,28,16,Outdoor Hard,"$1,465,260",Andrey Rublev,Rohan Bopanna Wesley Koolhof,,https://www.atptour.com/en/scores/archive/doha/451/2020/results
2020,Adelaide,"Adelaide, Australia",2020.01.12,28,16,Outdoor Hard,"$610,010",Andrey Rublev,Maximo Gonzalez Fabrice Martin,,https://www.atptour.com/en/scores/archive/adelaide/8998/2020/results
2020,Auckland,"Auckland, New Zealand",2020.01.13,28,16,Outdoor Hard,"$610,010",Ugo Humbert,Luke Bambridge Ben McLachlan,,https://www.atptour.com/en/scores/archive/auckland/301/2020/results
2020,Australian Open,"Melbourne, Australia",2020.01.20,128,64,Outdoor Hard,"A$32,505,000",Novak Djokovic,Rajeev Ram Joe Salisbury,,https://www.atptour.com/en/scores/archive/australian-open/580/2020/results
2020,Cordoba,"Cordoba, Argentina",2020.02.03,28,16,Outdoor Clay,"$610,010",Cristian Garin,Marcelo Demoliner Matwe Middelkoop,,https://www.atptour.com/en/scores/archive/cordoba/9158/2020/results
2020,Pune,"Pune, India",2020.02.03,28,16,Outdoor Hard,"$610,010",Jiri Vesely,Andre Goransson Christopher Rungkat,,https://www.atptour.com/en/scores/archive/pune/891/2020/results
2020,Montpellier,"Montpellier, France",2020.02.03,28,16,Indoor Hard,"€606,350",Gael Monfils,Nikola Cacic Mate Pavic,,https://www.atptour.com/en/scores/archive/montpellier/375/2020/results
2020,Rotterdam,"Rotterdam, Netherlands",2020.02.10,32,16,Indoor Hard,"€2,155,295",Gael Monfils,Pierre-Hugues Herbert Nicolas Mahut,,https://www.atptour.com/en/scores/archive/rotterdam/407/2020/results
2020,New York,"New York, United States",2020.02.10,28,16,Indoor Hard,"$804,180",Kyle Edmund,Dominic Inglot Aisam-Ul-Haq Qureshi,,https://www.atptour.com/en/scores/archive/new-york/424/2020/results
2020,Buenos Aires,"Buenos Aires, Argentina",2020.02.10,28,16,Outdoor Clay,"$696,280",Casper Ruud,Marcel Granollers Horacio Zeballos,,https://www.atptour.com/en/scores/archive/buenos-aires/506/2020/results
2020,Rio de Janeiro,"Rio de Janeiro, Brazil",2020.02.17,32,16,Outdoor Clay,"$1,915,485",Cristian Garin,Marcel Granollers Horacio Zeballos,,https://www.atptour.com/en/scores/archive/rio-de-janeiro/6932/2020/results
2020,Marseille,"Marseille, France",2020.02.17,28,16,Indoor Hard,"€769,670",Stefanos Tsitsipas,Nicolas Mahut Vasek Pospisil,,https://www.atptour.com/en/scores/archive/marseille/496/2020/results
2020,Delray Beach,"Delray Beach, United States",2020.02.17,32,16,Outdoor Hard,"$673,655",Reilly Opelka,Bob Bryan Mike Bryan,,https://www.atptour.com/en/scores/archive/delray-beach/499/2020/results
2020,Dubai,"Dubai, United Arab Emirates",2020.02.24,32,16,Outdoor Hard,"$2,950,420",Novak Djokovic,John Peers Michael Venus,,https://www.atptour.com/en/scores/archive/dubai/495/2020/results
2020,Acapulco,"Acapulco, Mexico",2020.02.24,32,16,Outdoor Hard,"$2,000,845",Rafael Nadal,Lukasz Kubot Marcelo Melo,,https://www.atptour.com/en/scores/archive/acapulco/807/2020/results
2020,Santiago,"Santiago, Chile",2020.02.24,28,16,Outdoor Clay,"$674,730",Thiago Seyboth Wild,Roberto Carballes Baena Alejandro Davidovich Fokina,,https://www.atptour.com/en/scores/archive/santiago/8996/2020/results
2020,ATP Masters 1000 Indian Wells,"Indian Wells, United States",2020.03.12,96,32,Outdoor Hard,"$9,735,685",,,,https://www.atptour.com/en/scores/archive/indian-wells/404/2020/results
2020,ATP Masters 1000 Miami,"Miami, United States",2020.03.25,96,32,Outdoor Hard,"$9,735,685",,,,https://www.atptour.com/en/scores/archive/miami/403/2020/results
2020,Houston,"Houston, United States",2020.04.06,28,16,Outdoor Clay,"$674,730",,,,https://www.atptour.com/en/scores/archive/houston/717/2020/results
2020,Marrakech,"Marrakech, Morocco",2020.04.06,32,16,Outdoor Clay,"€606,350",,,,https://www.atptour.com/en/scores/archive/marrakech/360/2020/results
2020,ATP Masters 1000 Monte Carlo,"Monte Carlo, Monaco",2020.04.12,56,28,Outdoor Clay,"€5,961,830",,,,https://www.atptour.com/en/scores/archive/monte-carlo/410/2020/results
2020,Barcelona,"Barcelona, Spain",2020.04.20,48,16,Outdoor Clay,"€2,803,265",,,,https://www.atptour.com/en/scores/archive/barcelona/425/2020/results
2020,Budapest,"Budapest, Hungary",2020.04.20,28,16,Outdoor Clay,"€606,350",,,,https://www.atptour.com/en/scores/archive/budapest/7648/2020/results
2020,Munich,"Munich, Germany",2020.04.27,28,16,Outdoor Clay,"€606,350",,,,https://www.atptour.com/en/scores/archive/munich/308/2020/results
2020,Estoril,"Estoril, Portugal",2020.04.27,28,16,Outdoor Clay,"€606,350",,,,https://www.atptour.com/en/scores/archive/estoril/7290/2020/results
2020,Geneva,"Geneva, Switzerland",2020.05.17,28,16,Outdoor Clay,"€606,350",,,,https://www.atptour.com/en/scores/archive/geneva/322/2020/results
2020,Lyon,"Lyon, France",2020.05.17,28,16,Outdoor Clay,"€606,350",,,,https://www.atptour.com/en/scores/archive/lyon/7694/2020/results
2020,Stuttgart,"Stuttgart, Germany",2020.06.08,28,16,Outdoor Grass,"€780,570",,,,https://www.atptour.com/en/scores/archive/stuttgart/321/2020/results
2020,'s-Hertogenbosch,"'s-Hertogenbosch, Netherlands",2020.06.08,28,16,Outdoor Grass,"€735,790",,,,https://www.atptour.com/en/scores/archive/s-hertogenbosch/440/2020/results
2020,London / Queen's Club,"London, Great Britain",2020.06.15,32,16,Outdoor Grass,"€2,275,960",,,,https://www.atptour.com/en/scores/archive/london/311/2020/results
2020,Halle,"Halle, Germany",2020.06.15,32,16,Outdoor Grass,"€2,275,960",,,,https://www.atptour.com/en/scores/archive/halle/500/2020/results
2020,Mallorca,"Mallorca, Spain",2020.06.21,28,16,Outdoor Grass,"$963,655",,,,https://www.atptour.com/en/scores/archive/mallorca/8994/2020/results
2020,Eastbourne,"Eastbourne, Great Britain",2020.06.22,28,16,Outdoor Grass,"€771,680",,,,https://www.atptour.com/en/scores/archive/eastbourne/741/2020/results
2020,Wimbledon,"London, Great Britain",2020.06.29,128,64,Outdoor Grass,,,,,https://www.atptour.com/en/scores/archive/wimbledon/540/2020/results
2020,Newport,"Newport, United States",2020.07.13,28,16,Outdoor Grass,"$674,730",,,,https://www.atptour.com/en/scores/archive/newport/315/2020/results
2020,Bastad,"Bastad, Sweden",2020.07.13,28,16,Outdoor Clay,"€606,350",,,,https://www.atptour.com/en/scores/archive/bastad/316/2020/results
2020,Los Cabos,"Los Cabos, Mexico",2020.07.20,28,16,Outdoor Hard,"$933,625",,,,https://www.atptour.com/en/scores/archive/los-cabos/7480/2020/results
2020,Umag,"Umag, Croatia",2020.07.20,28,16,Outdoor Clay,"€606,350",,,,https://www.atptour.com/en/scores/archive/umag/439/2020/results
2020,Gstaad,"Gstaad, Switzerland",2020.07.20,28,16,Outdoor Clay,"€606,350",,,,https://www.atptour.com/en/scores/archive/gstaad/314/2020/results
2020,Tokyo Olympics,"Tokyo, Japan",2020.07.25,64,32,Outdoor Hard,,,,,https://www.atptour.com/en/scores/archive/tokyo/96/2020/results
2020,Atlanta,"Atlanta, United States",2020.07.27,28,16,Outdoor Hard,"$804,180",,,,https://www.atptour.com/en/scores/archive/atlanta/6116/2020/results
2020,ATP Masters 1000 Canada,"Toronto, Canada",2020.08.10,56,32,Outdoor Hard,"$6,753,510",,,,https://www.atptour.com/en/scores/archive/toronto/421/2020/results
2020,Washington,"Washington, United States",2020.08.14,48,16,Outdoor Hard,"$2,108,865",,,,https://www.atptour.com/en/scores/archive/washington/418/2020/results
2020,ATP Masters 1000 Cincinnati,"New York, United States",2020.08.22,56,32,Outdoor Hard,"$4,674,780",Novak Djokovic,Pablo Carreno Busta Alex de Minaur,,https://www.atptour.com/en/scores/archive/new-york/422/2020/results
2020,Winston-Salem,"Winston-Salem, United States",2020.08.23,48,16,Outdoor Hard,"$835,020",,,,https://www.atptour.com/en/scores/archive/winston-salem/6242/2020/results
2020,US Open,"New York, United States",2020.08.31,128,32,Outdoor Hard,"$21,656,000",Dominic Thiem,Mate Pavic Bruno Soares,,https://www.atptour.com/en/scores/archive/us-open/560/2020/results
2020,Kitzbuhel,"Kitzbuhel, Austria",2020.09.08,28,16,Outdoor Clay,"€400,335",Miomir Kecmanovic,Austin Krajicek Franko Skugor,,https://www.atptour.com/en/scores/archive/kitzbuhel/319/2020/results
2020,ATP Masters 1000 Madrid,"Madrid, Spain",2020.09.13,56,28,Outdoor Clay,"€7,659,165",,,,https://www.atptour.com/en/scores/archive/madrid/1536/2020/results
2020,ATP Masters 1000 Rome,"Rome, Italy",2020.09.14,56,32,Outdoor Clay,"€3,854,000",Novak Djokovic,Marcel Granollers Horacio Zeballos,,https://www.atptour.com/en/scores/archive/rome/416/2020/results
2020,Hamburg,"Hamburg, Germany",2020.09.21,32,16,Outdoor Clay,"€1,203,960",Andrey Rublev,John Peers Michael Venus,,https://www.atptour.com/en/scores/archive/hamburg/414/2020/results
2020,Metz,"Metz, France",2020.09.21,28,16,Indoor Hard,"€606,350",,,,https://www.atptour.com/en/scores/archive/metz/341/2020/results
2020,Laver Cup,"Boston, United States",2020.09.25,12,12,Indoor Hard,,,,,https://www.atptour.com/en/scores/archive/laver-cup/9210/2020/results
2020,Roland Garros,"Paris, France",2020.09.27,128,64,Outdoor Clay,"€18,209,040",Rafael Nadal,Kevin Krawietz Andreas Mies,,https://www.atptour.com/en/scores/archive/roland-garros/520/2020/results
2020,Chengdu,"Chengdu, China",2020.09.28,28,16,Outdoor Hard,"$1,255,180",,,,https://www.atptour.com/en/scores/archive/chengdu/7581/2020/results
2020,Zhuhai,"Zhuhai, China",2020.09.28,28,16,Outdoor Hard,"$1,034,655",,,,https://www.atptour.com/en/scores/archive/zhuhai/9164/2020/results
2020,Beijing,"Beijing, China",2020.10.05,32,16,Outdoor Hard,"$3,728,800",,,,https://www.atptour.com/en/scores/archive/beijing/747/2020/results
2020,Tokyo,"Tokyo, Japan",2020.10.05,32,16,Outdoor Hard,"$2,108,865",,,,https://www.atptour.com/en/scores/archive/tokyo/329/2020/results
2020,ATP Masters 1000 Shanghai,"Shanghai, China",2020.10.11,56,32,Outdoor Hard,"$8,741,630",,,,https://www.atptour.com/en/scores/archive/shanghai/5014/2020/results
2020,St. Petersburg,"St. Petersburg, Russia",2020.10.12,32,16,Indoor Hard,"$1,399,370",Andrey Rublev,Jurgen Melzer Edouard Roger-Vasselin,,https://www.atptour.com/en/scores/archive/st-petersburg/568/2020/results
2020,Cologne 1,"Cologne, Germany",2020.10.12,28,16,Indoor Hard,"€271,345",Alexander Zverev,Pierre-Hugues Herbert Nicolas Mahut,,https://www.atptour.com/en/scores/archive/cologne/9404/2020/results
2020,Sardinia,"Sardinia, Italy",2020.10.12,28,16,Outdoor Clay,"€271,345",Laslo Djere,Marcus Daniell Philipp Oswald,,https://www.atptour.com/en/scores/archive/sardinia/9408/2020/results
2020,Stockholm,"Stockholm, Sweden",2020.10.19,28,16,Indoor Hard,"€735,790",,,,https://www.atptour.com/en/scores/archive/stockholm/429/2020/results
2020,Moscow,"Moscow, Russia",2020.10.19,28,16,Indoor Hard,"$668,120",,,,https://www.atptour.com/en/scores/archive/moscow/438/2020/results
2020,Antwerp,"Antwerp, Belgium",2020.10.19,28,16,Indoor Hard,"€472,590",Ugo Humbert,John Peers Michael Venus,,https://www.atptour.com/en/scores/archive/antwerp/7485/2020/results
2020,Cologne 2,"Cologne, Germany",2020.10.19,28,16,Indoor Hard,"€271,345",Alexander Zverev,Raven Klaasen Ben McLachlan,,https://www.atptour.com/en/scores/archive/cologne-2/9406/2020/results
2020,Basel,"Basel, Switzerland",2020.10.26,32,16,Indoor Hard,"€2,276,790",,,,https://www.atptour.com/en/scores/archive/basel/328/2020/results
2020,Vienna,"Vienna, Austria",2020.10.26,32,16,Indoor Hard,"€1,550,950",Andrey Rublev,Lukasz Kubot Marcelo Melo,,https://www.atptour.com/en/scores/archive/vienna/337/2020/results
2020,Nur-Sultan,"Nur-Sultan, Kazakhstan",2020.10.26,28,16,Indoor Hard,"$337,000",John Millman,Sander Gille Joran Vliegen,,https://www.atptour.com/en/scores/archive/nur-sultan/9410/2020/results
2020,ATP Masters 1000 Paris,"Paris, France",2020.11.02,56,24,Indoor Hard,"€3,732,680",Daniil Medvedev,Felix Auger-Aliassime Hubert Hurkacz,,https://www.atptour.com/en/scores/current/paris/352/live-scores
2020,Sofia,"Sofia, Bulgaria",2020.11.08,28,16,Indoor Hard,"€389,270",,,,https://www.atptour.com/en/scores/current/sofia/7434/live-scores
2020,Next Gen ATP Finals,"Milan, Italy",2020.11.10,8,0,Indoor Hard,,,,,NA
2020,Nitto ATP Finals,"London, Great Britain",2020.11.15,8,8,Indoor Hard,"$5,700,000",,,,NA
