Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team,Tournament url
1977,,Zurich,"Zurich, Switzerland",1976.12.29,32,16,Indoor Hard,"$25,000",Jan Norback,Nikola Pilic Reinhart Probst,
1977,grandslam,Australian Open-1,"Melbourne, Australia",1977.01.01,64,32,Outdoor Grass,"$200,000",Roscoe Tanner,Arthur Ashe Tony Roche,
1977,,Adelaide-1,"Adelaide, Australia",1977.01.10,64,32,Outdoor Grass,"$75,000",Victor Amaya,Cliff Letcher Dick Stockton,
1977,,Auckland,"Auckland, New Zealand",1977.01.10,32,16,Outdoor Grass,"$25,000",Vijay Amritraj,Chris Lewis Russell Simpson,
1977,,Birmingham WCT,"Birmingham, United States",1977.01.12,16,8,Indoor Carpet,"$100,000",Jimmy Connors,Wojtek Fibak Tom Okker,
1977,,Baltimore,"Baltimore, United States",1977.01.17,32,16,Indoor Carpet,"$100,000",Brian Gottfried,Ion Tiriac Guillermo Vilas,
1977,,Pepsi Grand Slam,"Boca Raton, United States",1977.01.21,4,0,Outdoor Clay,"$200,000",Bjorn Borg,,
1977,,Philadelphia WCT,"Philadelphia, United States",1977.01.24,64,32,Indoor Carpet,"$200,000",Dick Stockton,Bob Hewitt Frew McMillan,
1977,,Little Rock,"Little Rock, United States",1977.01.31,32,16,Indoor Hard,"$50,000",Sandy Mayer,Colin Dibley Haroon Rahim,
1977,,Richmond WCT,"Richmond, United States",1977.02.01,16,8,Indoor Carpet,"$100,000",Tom Okker,Wojtek Fibak Tom Okker,
1977,,Dayton,"Dayton, United States",1977.02.02,32,16,Indoor Carpet,"$50,000",Jeff Borowiak,Henry Pfister Butch Walts,
1977,,Miami,"Miami, United States",1977.02.07,32,16,Outdoor Clay,"$50,000",Eddie Dibbs,Brian Gottfried Raul Ramirez,
1977,,Springfield,"Springfield, United States",1977.02.07,32,16,Indoor Carpet,"$50,000",Guillermo Vilas,Bob Hewitt Frew McMillan,
1977,,Mexico City WCT,"Mexico City, Mexico",1977.02.08,16,8,Indoor Carpet,"$100,000",Ilie Nastase,Wojtek Fibak Tom Okker,
1977,,San Jose,"San Jose, United States",1977.02.14,32,16,Indoor Carpet,"$50,000",Jiri Hrebec,Bob Hewitt Frew McMillan,
1977,,Ocean City,"Ocean City, United States",1977.02.15,16,8,Indoor Carpet,"$100,000",Vitas Gerulaitis,,
1977,,Toronto WCT,"Toronto, Canada",1977.02.15,16,8,Indoor Carpet,"$100,000",Dick Stockton,Wojtek Fibak Tom Okker,
1977,,Palm Springs,"Palm Springs, United States",1977.02.21,64,32,Outdoor Hard,"$225,000",Brian Gottfried,Bob Hewitt Frew McMillan,
1977,,Memphis,"Memphis, United States",1977.02.28,64,32,Indoor Carpet,"$175,000",Bjorn Borg,Fred McNair IV Sherwood Stewart,
1977,,Monterrey WCT,"Monterrey, Mexico",1977.03.01,16,8,Indoor Carpet,"$100,000",Wojtek Fibak,Ross Case Wojtek Fibak,
1977,,Johannesburg-1,"Johannesburg, South Africa",1977.03.08,32,16,Outdoor Hard,"$150,000",,Bob Hewitt Frew McMillan,
1977,,Hampton,"Hampton, United States",1977.03.08,32,16,Indoor Carpet,"$50,000",Sandy Mayer,Sandy Mayer Stan Smith,
1977,,WCT Aetna World Cup,"Hartford, United States",1977.03.10,6,0,Indoor Carpet,"$100,000",,,
1977,,Washington-1,"Washington, United States",1977.03.14,32,16,Indoor Carpet,"$100,000",Brian Gottfried,Robert Lutz Stan Smith,
1977,,Helsinki,"Helsinki, Finland",1977.03.14,32,16,Indoor Carpet,"$50,000",Mark Cox,Jiri Hrebec Hans Kary,
1977,,St. Louis WCT,"St. Louis, United States",1977.03.16,16,8,Indoor Carpet,"$100,000",Jimmy Connors,Ilie Nastase Adriano Panatta,
1977,,Carlsbad,"Carlsbad, United States",1977.03.21,64,32,Outdoor Hard,"$100,000",Brian Gottfried,Bob Hewitt Frew McMillan,
1977,,Cairo,"Cairo, Egypt",1977.03.21,16,8,Outdoor Clay,"$30,000",Francois Jauffret,John Bartlett John Marks,
1977,,Rotterdam WCT,"Rotterdam, Netherlands",1977.03.22,16,8,Indoor Carpet,"$100,000",Dick Stockton,Wojtek Fibak Tom Okker,
1977,,Los Angeles-1,"Los Angeles, United States",1977.03.28,64,32,Indoor Carpet,"$150,000",Stan Smith,Bob Hewitt Frew McMillan,
1977,,London WCT,"London, Great Britain",1977.03.28,16,8,Indoor Carpet,"$100,000",Eddie Dibbs,Ilie Nastase Adriano Panatta,
1977,,Nice,"Nice, France",1977.03.28,32,16,Outdoor Clay,"$50,000",Bjorn Borg,Ion Tiriac Guillermo Vilas,
1977,,Jackson,"Jackson, United States",1977.04.04,16,8,Indoor Carpet,"$58,000",Brian Teacher,Bob Hewitt Frew McMillan,
1977,,Monte Carlo WCT,"Monte Carlo, Monaco",1977.04.05,16,8,Outdoor Clay,"$100,000",Bjorn Borg,Francois Jauffret Jan Kodes,
1977,,WCT Challenge Cup,"Las Vegas, United States",1977.04.10,2,0,Indoor Carpet,"$100,000",Ilie Nastase,,
1977,,Houston WCT,"Houston, United States",1977.04.11,16,8,Outdoor Clay,"$100,000",Adriano Panatta,Ilie Nastase Adriano Panatta,
1977,,Murcia,"Murcia, Spain",1977.04.11,32,16,Outdoor Clay,"$50,000",Jose Higueras,Patrice Dominguez Francois Jauffret,
1977,,Buenos Aires-1,"Buenos Aires, Argentina",1977.04.14,16,8,Outdoor Clay,,Guillermo Vilas,Wojtek Fibak Ion Tiriac,
1977,,Denver,"Denver, United States",1977.04.18,32,16,Indoor Carpet,"$100,000",Bjorn Borg,Colin Dibley Geoff Masters,
1977,,Florence,"Florence, Italy",1977.04.18,32,16,Outdoor Clay,"$30,000",Paolo Bertolucci,Chris Lewis Russell Simpson,
1977,,Charlotte WCT,"Charlotte, United States",1977.04.19,16,8,Outdoor Clay,"$100,000",Corrado Barazzutti,Tom Okker Ken Rosewall,
1977,,Virginia Beach,"Virginia Beach, United States",1977.04.19,16,4,Outdoor Clay,"$100,000",Guillermo Vilas,,
1977,,Las Vegas,"Las Vegas, United States",1977.04.25,32,16,Outdoor Hard,"$250,000",Jimmy Connors,Robert Lutz Stan Smith,
1977,,Munich,"Munich, Germany",1977.04.26,32,16,Outdoor Clay,"$75,000",Zeljko Franulovic,Frantisek Pala Balazs Taroczy,
1977,,WCT Doubles Finals,"Kansas City, United States",1977.05.04,0,8,Indoor Carpet,"$200,000",,Vijay Amritraj Dick Stockton,
1977,,Hamburg,"Hamburg, Germany",1977.05.09,64,32,Outdoor Clay,"$125,000",Paolo Bertolucci,Bob Hewitt Karl Meiler,
1977,,WCT Finals,"Dallas, United States",1977.05.10,8,0,Indoor Carpet,"$200,000",Jimmy Connors,,
1977,,Rome,"Rome, Italy",1977.05.16,64,32,Outdoor Clay,"$150,000",Vitas Gerulaitis,Brian Gottfried Raul Ramirez,
1977,,Dusseldorf,"Dusseldorf, Germany",1977.05.16,32,16,Outdoor Clay,"$75,000",Wojtek Fibak,Jurgen Fassbender Karl Meiler,
1977,grandslam,Roland Garros,"Paris, France",1977.05.23,128,64,Outdoor Clay,"$300,000",Guillermo Vilas,Brian Gottfried Raul Ramirez,
1977,,Nottingham,"Nottingham, Great Britain",1977.06.06,64,32,Outdoor Grass,"$100,000",,,
1977,,Brussels,"Brussels, Belgium",1977.06.06,64,32,Outdoor Clay,"$75,000",Harold Solomon,Jiri Hrebec Hans Kary,
1977,,London / Queen's Club,"London, Great Britain",1977.06.13,64,32,Outdoor Grass,"$100,000",Raul Ramirez,Anand Amritraj Vijay Amritraj,
1977,,Berlin,"Berlin, Germany",1977.06.13,32,16,Outdoor Clay,"$50,000",Paolo Bertolucci,Hans Gildemeister Belus Prajoux,
1977,grandslam,Wimbledon,"London, Great Britain",1977.06.20,128,64,Outdoor Grass,"$200,000",Bjorn Borg,Ross Case Geoff Masters,
1977,,Bastad,"Bastad, Sweden",1977.07.04,32,16,Outdoor Clay,"$75,000",Corrado Barazzutti,Mark Edmondson John Marks,
1977,,Gstaad,"Gstaad, Switzerland",1977.07.04,32,16,Outdoor Clay,"$75,000",Jeff Borowiak,Jurgen Fassbender Karl Meiler,
1977,,Newport,"Newport, United States",1977.07.04,32,16,Outdoor Grass,"$50,000",Tim Gullikson,Ismail El Shafei Brian Fairlie,
1977,,Cincinnati,"Cincinnati, United States",1977.07.11,64,32,Outdoor Clay,"$100,000",Harold Solomon,John Alexander Phil Dent,
1977,,Hilversum,"Hilversum, Netherlands",1977.07.11,32,16,Outdoor Clay,"$75,000",Patrick Proisy,Jose Higueras Antonio Munoz,
